symbol,group,name
BCRX,NASDAQ Global Select Market,"BioCryst Pharmaceuticals, Inc. - Common Stock"
BDBD,NASDAQ Global Select Market,"Boulder Brands, Inc. - Common Stock"
BDCV,NASDAQ Capital Market,"BDCA Venture, Inc. - Common Stock"
BDE,NASDAQ Global Select Market,"Black Diamond, Inc. - Common Stock"
BDGE,NASDAQ Global Select Market,"Bridge Bancorp, Inc. - Common Stock"
BDMS,NASDAQ Capital Market,"Birner Dental Management Services, Inc. - Common Stock"
BDSI,NASDAQ Capital Market,"BioDelivery Sciences International, Inc. - Common Stock"
BEAT,NASDAQ Global Select Market,"BioTelemetry, Inc. - Common Stock"
BEAV,NASDAQ Global Select Market,"B/E Aerospace, Inc. - Common Stock"
BEBE,NASDAQ Global Select Market,"bebe stores, inc. - Common Stock"
BECN,NASDAQ Global Select Market,"Beacon Roofing Supply, Inc. - Common Stock"
BELFA,NASDAQ Global Select Market,Bel Fuse Inc. - Class A Common Stock
BELFB,NASDAQ Global Select Market,Bel Fuse Inc. - Class B Common Stock
BFIN,NASDAQ Global Select Market,BankFinancial Corporation - Common Stock
BGCP,NASDAQ Global Select Market,"BGC Partners, Inc. - Class A Common Stock"
BGFV,NASDAQ Global Select Market,Big 5 Sporting Goods Corporation - Common Stock
BGMD,NASDAQ Capital Market,"BG Medicine, Inc. - Common Stock"
BHBK,NASDAQ Global Select Market,"Blue Hills Bancorp, Inc. - Common Stock"
BIB,NASDAQ Global Market,ProShares Ultra Nasdaq Biotechnology
BICK,NASDAQ Global Market,First Trust BICK Index Fund
BIDU,NASDAQ Global Select Market,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share"
BIIB,NASDAQ Global Select Market,Biogen Idec Inc. - Common Stock
BIND,NASDAQ Global Select Market,"BIND Therapeutics, Inc. - Common Stock"
BIOC,NASDAQ Capital Market,"Biocept, Inc. - Common Stock"
BIOD,NASDAQ Capital Market,Biodel Inc. - Common Stock
BIOL,NASDAQ Capital Market,"Biolase, Inc. - Common Stock"
BIOS,NASDAQ Global Select Market,"BioScrip, Inc. - Common Stock"
BIRT,NASDAQ Global Select Market,Actuate Corporation - Common Stock
BIS,NASDAQ Global Market,ProShares UltraShort Nasdaq Biotechnology
BJRI,NASDAQ Global Select Market,"BJ's Restaurants, Inc. - Common Stock"
BKCC,NASDAQ Global Select Market,BlackRock Kelso Capital Corporation - Common Stock
BKEP,NASDAQ Global Market,"Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests"
BKEPP,NASDAQ Global Market,"Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units"
BKMU,NASDAQ Global Select Market,Bank Mutual Corporation - Common Stock
BKSC,NASDAQ Capital Market,Bank of South Carolina Corp. - Common Stock
BKYF,NASDAQ Global Select Market,The Bank of Kentucky Financial Corp. - Common Stock
BLCM,NASDAQ Global Market,"Bellicum Pharmaceuticals, Inc. - Common Stock"
BLDP,NASDAQ Global Market,"Ballard Power Systems, Inc. - Common Shares"
BLDR,NASDAQ Global Select Market,"Builders FirstSource, Inc. - Common Stock"
BLFS,NASDAQ Capital Market,"BioLife Solutions, Inc. - Common Stock"
BLIN,NASDAQ Capital Market,"Bridgeline Digital, Inc. - Common Stock"
BLKB,NASDAQ Global Select Market,"Blackbaud, Inc. - Common Stock"
BLMN,NASDAQ Global Select Market,"Bloomin' Brands, Inc. - Common Stock"
BLMT,NASDAQ Capital Market,"BSB Bancorp, Inc. - Common Stock"
BLRX,NASDAQ Capital Market,BioLineRx Ltd. - American Depositary Shares
BLUE,NASDAQ Global Select Market,"bluebird bio, Inc. - Common Stock"
BLVD,NASDAQ Capital Market,Boulevard Acquisition Corp. - Common Stock
BLVDU,NASDAQ Capital Market,Boulevard Acquisition Corp. - Units
BLVDW,NASDAQ Capital Market,Boulevard Acquisition Corp. - Warrants
BMRC,NASDAQ Capital Market,Bank of Marin Bancorp - Common Stock
BMRN,NASDAQ Global Select Market,BioMarin Pharmaceutical Inc. - Common Stock
