symbol,group,description
CBSH,US Equity,Commerce Bancshares Inc.
CBT,US Equity,Cabot Corp.
CBU,US Equity,Community Bank System Inc.
CBZ,US Equity,CBIZ Inc
CC,US Equity,CHEMOURS CO
CCBG,US Equity,Capital City Bank Group Inc.
CCC,US Equity,Calgon Carbon Corp.
CCF,US Equity,Chase Corp.
CCI,US Equity,Crown Castle International Corp.
CCK,US Equity,Crown Holdings Inc.
CCL,US Equity,Carnival Corp.
CCLP,US Equity,CSI Compressco LP
CCMP,US Equity,Cabot Microelectronics Corp.
CCNE,US Equity,CNB Financial Corp. (Pennsylvania)
CCO,US Equity,Clear Channel Outdoor Holdings Inc.
CCOI,US Equity,Cogent Communications Group Inc.
CCP,US Equity,CARE CAP PPTYS INC
CCRN,US Equity,Cross Country Healthcare Inc.
CCS,US Equity,CENTURY CMNTYS INC
CCUR,US Equity,Concurrent Computer Corp.
CCXI,US Equity,Chemocentryx Inc
CDE,US Equity,Coeur d'Alene Mines Corp.
CDI,US Equity,CDI Corp.
CDNA,US Equity,CAREDX INC
CDNS,US Equity,Cadence Design Systems Inc.
CDOR,US Equity,Condor Hospitality Tr Inc Com
CDR,US Equity,Cedar Shopping Centers Inc.
CDTI,US Equity,Clean Diesel Technologies Inc.
CDTX,US Equity,CIDARA THERAPEUTICS INC
CDVIQ,US Equity,Cal Dive InterNatl Inc.
CDW,US Equity,CDW CORP
CDXS,US Equity,CODEXIS INC
CDZI,US Equity,Cadiz Inc.
CE,US Equity,Celanese Corp. Series A
CEB,US Equity,Ceb Inc
CECE,US Equity,Ceco Environmental Corp.
CECO,US Equity,Career Education Corp.
CELG,US Equity,Celgene Corp.
CELP,US Equity,CYPRESS ENERGY PARTNERS LP
CEMI,US Equity,CHEMBIO DIAGNOSTICS INC
CEMP,US Equity,Cempra Inc
CENTA,US Equity,Central Garden & Pet Co.
CENX,US Equity,Century Aluminum Co.
